"UF","cod_Inst","cod_Curso","cor_raca","renda_num","renda_valor","renda","cota","ensino_medio","motivo","nome_curso"
25,2564,13405,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","História (Licenciatura)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Étnico-racial","Todo escola pública","Outro","História (Licenciatura)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","História (Licenciatura)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","História (Licenciatura)"
25,2564,13405,"Amarela",1,"até R$ 1.405,50","Baixíssima","Escola pública","Todo escola pública","Outro","História (Licenciatura)"
25,2564,13405,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Mais de uma cota","Todo escola pública","Outro","História (Licenciatura)"
25,2564,13405,"Amarela",1,"até R$ 1.405,50","Baixíssima","Mais de uma cota","Todo escola pública","Vocação","História (Licenciatura)"
25,2564,13405,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Étnico-racial","Todo escola pública","Outro","História (Licenciatura)"
25,2564,13405,"Parda",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola pública","Vocação","História (Licenciatura)"
25,2564,13405,"Branca",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola particular","Vocação","História (Licenciatura)"
25,2564,13405,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","História (Licenciatura)"
25,2564,13405,"Parda",6,"R$ 9.370,01 a R$ 28.110,00","Alta","Não","Todo escola pública","Outro","História (Licenciatura)"
25,2564,13405,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","História (Licenciatura)"
25,2564,13405,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","História (Licenciatura)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","História (Licenciatura)"
25,2564,13405,"Preta",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola pública","Inserção no Mercado de Trabalho","História (Licenciatura)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","História (Licenciatura)"
25,2564,13405,"Amarela",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Baixa concorrência","História (Licenciatura)"
25,2564,13405,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Mais de uma cota","Todo escola pública","Influência familiar","História (Licenciatura)"
25,2564,13405,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","História (Licenciatura)"
25,2564,13405,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","História (Licenciatura)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","História (Licenciatura)"
25,2564,13407,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Não quero declarar",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Branca",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Escola pública","Todo escola pública","Baixa concorrência","Geografia (Licenciatura)"
25,2564,13407,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Influência familiar","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Outra cota","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Parda",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Amarela",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Maior parte escola pública","Influência familiar","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Geografia (Licenciatura)"
25,2564,13407,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Maior parte escola particular","Outro","Geografia (Licenciatura)"
25,2564,13407,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Influência familiar","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Étnico-racial","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Influência familiar","Geografia (Licenciatura)"
25,2564,13407,"Amarela",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Amarela",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Escola pública","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Outra cota","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Geografia (Licenciatura)"
25,2564,13407,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Renda","Todo escola pública","Inserção no Mercado de Trabalho","Geografia (Licenciatura)"
25,2564,13407,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Escola pública","Todo escola pública","Inserção no Mercado de Trabalho","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Escola pública","Todo escola pública","Valorização Profissional","Geografia (Licenciatura)"
25,2564,13407,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Parda",4,"R$ 4.216,51 a R$ 5.622,00","Média","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Influência familiar","Geografia (Licenciatura)"
25,2564,13407,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Geografia (Licenciatura)"
25,2564,13407,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Geografia (Licenciatura)"
25,2564,13407,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Influência familiar","Geografia (Licenciatura)"
25,2564,13407,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","Geografia (Licenciatura)"
25,2564,13407,"Parda",4,"R$ 4.216,51 a R$ 5.622,00","Média","Não","Todo escola pública","Valorização Profissional","Geografia (Licenciatura)"
25,2564,13410,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Influência familiar","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Mais de uma cota","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Valorização Profissional","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola particular","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola particular","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Baixa concorrência","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Étnico-racial","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Amarela",1,"até R$ 1.405,50","Baixíssima","Renda","Todo escola pública","Baixa concorrência","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola pública","Valorização Profissional","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Escola pública","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",4,"R$ 4.216,51 a R$ 5.622,00","Média","Escola pública","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Renda","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Maior parte escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Amarela",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Maior parte escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",4,"R$ 4.216,51 a R$ 5.622,00","Média","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola particular","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Étnico-racial","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola particular","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Mais de uma cota","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Influência familiar","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",1,"até R$ 1.405,50","Baixíssima","Mais de uma cota","Todo escola pública","Valorização Profissional","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Maior parte escola particular","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Renda","Todo escola pública","Valorização Profissional","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Amarela",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Mais de uma cota","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Étnico-racial","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Escola pública","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Maior parte escola particular","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Maior parte escola particular","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Influência familiar","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",1,"até R$ 1.405,50","Baixíssima","Mais de uma cota","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Escola pública","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Maior parte escola particular","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",6,"R$ 9.370,01 a R$ 28.110,00","Alta","Não","Maior parte escola particular","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Escola pública","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Influência familiar","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",1,"até R$ 1.405,50","Baixíssima","Escola pública","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Influência familiar","Pedagogia (Licenciatura)"
25,2564,13410,"Não quero declarar",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola pública","Inserção no Mercado de Trabalho","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",1,"até R$ 1.405,50","Baixíssima","Escola pública","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Preta",1,"até R$ 1.405,50","Baixíssima","Renda","Todo escola pública","Influência familiar","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Valorização Profissional","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Influência familiar","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",1,"até R$ 1.405,50","Baixíssima","Renda","Todo escola pública","Outro","Pedagogia (Licenciatura)"
25,2564,13410,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","Pedagogia (Licenciatura)"
25,2564,13410,"Branca",1,"até R$ 1.405,50","Baixíssima","Renda","Todo escola pública","Outro","Pedagogia (Licenciatura)"
